Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-APRIL-2026,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,13564,0,16301,0,0,0,5533,0,115,0,0,0,612,525,6560,0,0,239
MSitAE-APRIL-2026,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7901,0,1526,0,0,0,2563,0,0,0,0,0,502,276,1554,0,0,482
MSitAE-APRIL-2026,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,10352,0,3722,0,0,640,2572,0,52,0,0,0,851,207,3600,0,0,2665
MSitAE-APRIL-2026,RTH,NHS ENGLAND SOUTH EAST ,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12273,1328,3334,1643,0,180,3089,0,56,274,0,12,252,3,5177,83,20,4314
MSitAE-APRIL-2026,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5859,203,0,385,0,0,2337,0,0,0,0,0,423,348,1397,0,0,457
MSitAE-APRIL-2026,RDR,NHS ENGLAND SOUTH EAST ,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,12265,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,13252,0,0,456,0,0,2776,0,0,0,0,0,218,56,1676,0,0,452
MSitAE-APRIL-2026,RWW,NHS ENGLAND NORTH WEST ,NORTH CHESHIRE AND MERSEY NHS FOUNDATION TRUST,6782,0,6171,314,0,402,3091,0,40,101,0,0,588,756,1767,0,0,122
MSitAE-APRIL-2026,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,4396,261,1509,23,0,8,1481,0,57,9,0,0,249,290,1384,0,0,96
MSitAE-APRIL-2026,RAL,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,27938,485,14624,166,3,184,7233,12,499,49,0,10,821,1795,6346,1,115,799
MSitAE-APRIL-2026,RBL,NHS ENGLAND NORTH WEST ,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,8376,0,2899,0,0,182,4193,0,96,0,0,2,511,735,2148,0,0,1856
MSitAE-APRIL-2026,RM3,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,26107,0,8998,36,0,0,9204,0,236,1,0,0,949,1242,7304,0,348,2420
MSitAE-APRIL-2026,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,12120,0,3277,151,0,95,4301,0,161,27,0,3,1067,360,3004,0,110,1094
MSitAE-APRIL-2026,RWD,NHS ENGLAND MIDLANDS ,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,18091,0,4266,0,0,0,4234,0,281,0,0,0,768,819,4748,0,0,1073
MSitAE-APRIL-2026,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1909,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,5363,0,0,2289,0,0,16,0,0,5,0,0,0,0,0,0
MSitAE-APRIL-2026,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,190,0,0,2519,0,0,1,0,0,8,0,0,0,0,0,0
MSitAE-APRIL-2026,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,555,0,0,2477,0,0,3,0,0,13,0,0,0,0,0,0
MSitAE-APRIL-2026,NNJ15,NHS ENGLAND MIDLANDS ,RUTLAND MINOR ILLNESS AND INJURY SERVICE (FORMERLY WLHH PRE-APRIL 2026),0,0,0,0,0,624,0,0,0,0,0,1,0,0,0,0,0,0
