Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MAY-2026,RBL,NHS ENGLAND NORTH WEST ,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,8227,0,2826,0,0,151,4271,0,56,0,0,3,437,858,2181,0,0,1728
MSitAE-MAY-2026,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,11209,1027,3478,2058,0,900,4174,20,11,626,0,22,649,1211,3185,0,0,2508
MSitAE-MAY-2026,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,17205,0,17917,0,0,980,8428,0,272,0,0,3,1066,533,4302,0,0,582
MSitAE-MAY-2026,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,8876,0,411,0,0,0,2478,0,0,0,0,0,448,127,1796,0,0,513
MSitAE-MAY-2026,RM3,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,27206,0,9569,0,0,0,9388,0,343,0,0,0,844,1251,7645,0,256,2502
MSitAE-MAY-2026,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,13648,0,0,507,0,0,2989,0,0,0,0,0,299,77,1512,0,0,404
MSitAE-MAY-2026,RTE,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,14498,0,0,0,0,0,5241,0,0,0,0,0,265,539,2580,0,0,3008
MSitAE-MAY-2026,RTH,NHS ENGLAND SOUTH EAST ,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13048,1458,3458,1753,0,207,3808,0,53,335,0,15,428,10,5371,96,13,4223
MSitAE-MAY-2026,RAL,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,26608,458,17712,187,3,227,7988,2,839,52,0,19,926,1862,6471,0,121,797
MSitAE-MAY-2026,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4999,0,0,490,0,4714,2450,0,0,162,0,0,271,85,1952,0,0,506
MSitAE-MAY-2026,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,11768,1086,8725,371,0,0,4842,136,85,130,0,0,825,269,2735,0,29,78
MSitAE-MAY-2026,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,24282,866,11819,0,0,0,9082,4,113,0,0,0,1148,756,6597,0,0,167
MSitAE-MAY-2026,RXC,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,9759,0,2517,1948,0,1714,4243,0,69,0,0,0,288,183,2558,0,0,482
MSitAE-MAY-2026,RNN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,9204,0,2231,273,0,32,3956,0,75,59,0,2,638,355,2212,0,0,387
TOTAL ,TOTAL ,TOTAL ,TOTAL ,1466119,52381,860272,27226,439,50961,562494,2082,25264,6892,33,558,78378,50212,395328,1417,5088,131447
